"agency_type","address_city","problem","problem_count","month_response","year_response"
"Fire","SAN DIEGO","Ringing Alarm","1","1","1900"
"Fire","SAN DIEGO","Cardiac / Respiratory Arrest","1","9","2001"
"Fire","SAN DIEGO","Assault/Rape (L4)","2","9","2006"
"Fire","SAN DIEGO","Assist PD - Ladder Bldg","4","9","2006"
"Fire","SAN DIEGO","Back Pain (Non Traumatic) (L4)","42","9","2006"
"Fire","SAN DIEGO","Boat Fire 1st Alm","2","9","2006"
"Fire","SAN DIEGO","Burns / Explosion (L1)","9","9","2006"
"Fire","SAN DIEGO","Burns / Explosion (L2)","1","9","2006"
"Fire","SAN DIEGO","Burns / Explosion (L4)","1","9","2006"
"Fire","SAN DIEGO","Chest Pain (L3)","7","9","2006"
"Fire","SAN DIEGO","Diabetic Problems (L1)","111","9","2006"
"Fire","SAN DIEGO","Headache (L3)","3","9","2006"
"Fire","SAN DIEGO","Heat / Cold Exposure (L1)","3","9","2006"
"Fire","SAN DIEGO","Hemorrhage / Lacerations (L1)","148","9","2006"
"Fire","SAN DIEGO","Investigate","3","9","2006"
"Fire","SAN DIEGO","Medical Aid","46","9","2006"
"Fire","SAN DIEGO","Noxious Odor","6","9","2006"
"Fire","SAN DIEGO","OD/Ingestion/Poisonings (L1)","173","9","2006"
"Fire","SAN DIEGO","Oven Fire","2","9","2006"
"Fire","SAN DIEGO","Poway Medical Aid","1","9","2006"
"Fire","SAN DIEGO","Ringing Alarm","281","9","2006"
"Fire","SAN DIEGO","Ringing Alarm Highrise","108","9","2006"
"Fire","SAN DIEGO","Stroke (Cva) (L1)","95","9","2006"
"Fire","SAN DIEGO","Structure Highrise/Hospital","6","9","2006"
"Fire","SAN DIEGO","Transformer","1","9","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L1)","149","9","2006"
"Fire","SAN DIEGO","Traumatic Injuries, Spec (L4)","14","9","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L2)","1","9","2006"
"Fire","SAN DIEGO","Unc/Fainting (Non Trauma)(L3)","69","9","2006"
"Fire","SAN DIEGO","Vegetation Fire","26","9","2006"
